platform,market_focus,media,domain_candidate,access_code,access_interpretation,evidence,desktop_chrome,extension_support,notes,source_urls,source_titles,research_date
myTV SUPER,Korea Taiwan Hong Kong,Video,mytvsuper.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Hong Kong free/paid television candidate.,,,2026-09-06
HOY TV,Korea Taiwan Hong Kong,Video,hoy.tv,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Hong Kong broadcaster video/live candidate.,,,2026-09-06
Viu,Southeast Asia,Video,viu.com,M,Free/paid or mixed ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Pan-regional service; official developer confirms premium avoids ads. Free catalog and desktop behavior vary by market.,https://hq.viu.com/ ; https://play.google.com/store/apps/details?id=com.viu.phone,Viu | HQ ; Viu : Korean & Asian content - Apps on Google Play,2026-09-06
WeTV,Southeast Asia,Video,wetv.vip,M,Free/paid or mixed ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Official free viewing and ad-free VIP described; title/region restrictions.,https://wetv.vip/en?appid=coop_direct_msite_EASIMY%2F1000,"WeTV – Watch Chinese, Korean, Japanese, Thai dramas, anime, and movies for free. We provide Thai, Indonesian, and Malay subtitles and dubbing. Register as a WeTV VIP for an ad-free experience, comment with friends, and enjoy multilingual subtitles.",2026-09-06
iQIYI International,Southeast Asia,Video,iq.com,M,Free/paid or mixed ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,"Free/VIP; VIP skips only some ad types, not all commercial content.",https://pca.iq.com/vip/privilege?is_privilege=1 ; https://intl-help.iq.com/m/?agentType=426&entranceId=PCW%2FH5_navigation&entry=pc&lang=en_us&mod=th&ptid=01010031010014000000,"For VIP privileges, please see ; Help and Feedback",2026-09-06
Vidio,Southeast Asia,Video,vidio.com,M,Free/paid or mixed ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,"July 2026 terms explicitly describe free AVOD, subscription and transactional/PPV models, with website/computer access. Indonesian free VOD, sports and paid titles need separate playback tests.",https://support.vidio.com/support/solutions/articles/43000689191-syarat-ketentuan-vidio,Syarat & Ketentuan Vidio | Support Vidio,2026-09-06
RCTI+,Southeast Asia,Video,rctiplus.com,F,Free ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Official app listing confirms free content with ads; desktop ad behavior not verified.,https://play.google.com/store/apps/details?gl=ID&id=com.fta.rctitv,RCTI+ Superapp - Apps on Google Play,2026-09-06
Vision+,Southeast Asia,Video,visionplus.id,U,Research candidate: current ad model and/or web access not fully verified,Partial official/secondary evidence; qualify,"Not playback-tested; verify region, plan and player",Not qualified by this research,A 2022 official package article advertises paid ad-free benefits. Too old and insufficient to establish a current free desktop ad tier; verify present plans and player.,https://blog.visionplus.id/beragam-paket-vision/,Beragam Paket Vision+ yang Perlu Kamu Tau - Blog Visionplus,2026-09-06
mewatch,Southeast Asia,Video,mewatch.sg,M,Free/paid or mixed ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Official app describes free/premium content; official free-channel page and Mediacorp web video-roll specifications document advertising. Specs include skippable and non-skippable formats; actual placement/player behavior untested.,https://play.google.com/store/apps/details/meWATCH_Watch_Video_Movies_and_TV_Programmes?hl=en_US&id=sg.mediacorp.android ; https://www.mewatch.sg/live-tv/free-channels ; https://creativelab.mediacorp.sg/ad-eg/video-roll.html ; https://www.mewatch.sg/list/30-discount-off-3-month-mewatch-prime-and-FREE-3-month-ROCK-24-7-488253,"mewatch: Watch Video, Movies - Apps on Google Play ; Free Channels - mewatch ; Mediacorp Creative Lab - AdSpec ; 30% discount off 3-month mewatch prime and FREE 3-month ROCK 24/7 - mewatch",2026-09-06
Tonton,Southeast Asia,Video,tonton.com.my,M,Free/paid or mixed ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Official plan table confirms free ad-supported shows and computer support. TontonUp can retain ads on free shows; local live channels retain ads even with the No-ads upgrade. Qualify each surface separately.,https://stream.tonton.com.my/,"Tonton Malaysia | Watch Dramas, Movies & Shows Online",2026-09-06
sooka,Southeast Asia,Video,sooka.my,M,Free/paid or mixed ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Official description confirms free ad-supported channels; sports packages separate.,https://s.sooka.my/9FClb7,"sooka-Sports, TV Shows, Movies - Apps on Google Play",2026-09-06
Astro GO,Southeast Asia,Video,astrogo.astro.com.my,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Provider-authenticated Malaysia TV; not generally free.,,,2026-09-06
Unifi TV,Southeast Asia,Video,unifi.com.my,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Provider/free-channel candidate; web access depends on current product.,,,2026-09-06
TrueID,Southeast Asia,Video,trueid.net,U,Research candidate: current ad model and/or web access not fully verified,Partial official/secondary evidence; qualify,"Not playback-tested; verify region, plan and player",Not qualified by this research,Thai free/paid TV; verify actual no-ads Plus versus live exceptions.,https://trueidtv.trueid.net/th/trueidplus,ทรูไอดี พลัส - TrueID Plus,2026-09-06
AIS PLAY,Southeast Asia,Video,aisplay.ais.co.th,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,"Thai carrier TV/sports; browser, SIM and entitlement checks.",,,2026-09-06
CH3Plus,Southeast Asia,Video,ch3plus.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Thai broadcaster free/Premium candidate.,,,2026-09-06
BUGABOO.TV,Southeast Asia,Video,bugaboo.tv,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Thai broadcaster catch-up/live; international service may differ.,,,2026-09-06
oneD,Southeast Asia,Video,oned.net,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Thai broadcaster free/premium candidate.,,,2026-09-06
MONOMAX,Southeast Asia,Video,monomax.me,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Paid entertainment/sports; no assumed free ad-funded tier.,,,2026-09-06
Workpoint TV,Southeast Asia,Video,workpointtv.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Thai broadcaster clips/live candidate.,,,2026-09-06
iWant,Southeast Asia,Video,iwanttfc.com,U,Research candidate: current ad model and/or web access not fully verified,Partial official/secondary evidence; qualify,"Not playback-tested; verify region, plan and player",Not qualified by this research,Current iWant branding; free samples/promotions versus subscriptions. Do not assume old iWantTFC rules.,https://corporate.abs-cbn.com/newsroom/news-releases/2025/10/5/emilio-daez-starrer-love-at-first-spike-streams-for-free-on-iwant?lang=en ; https://corporate.abs-cbn.com/newsroom/news-releases/2025/11/21/stand-up-comedy-series-benta-nights-brings-raw-unfiltered-laughter-to-iwant?lang=en,"Emilio Daez-starrer ""Love at First Spike"" streams for free on iWant ; Stand-up comedy series “Benta Nights” brings raw, unfiltered laughter to iWant",2026-09-06
Cignal Play,Southeast Asia,Video,cignalplay.com,U,Research candidate: current ad model and/or web access not fully verified,Partial official/secondary evidence; qualify,"Not playback-tested; verify region, plan and player",Not qualified by this research,Official ad-containing app; current player and plan access need browser test.,https://play.google.com/store/apps/details?id=tv.pilipinalive.app,Cignal Play - Apps on Google Play,2026-09-06
Pilipinas Live,Southeast Asia,Video,pilipinaslive.com,U,Research candidate: current ad model and/or web access not fully verified,Partial official/secondary evidence; qualify,"Not playback-tested; verify region, plan and player",Not qualified by this research,Possible product consolidation: cited current Cignal app uses former Pilipinas Live ID. Deduplicate before build.,https://play.google.com/store/apps/details?id=tv.pilipinalive.app,Cignal Play - Apps on Google Play,2026-09-06
GMA Network video,Southeast Asia,Video,gmanetwork.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Philippine free broadcaster clips/live candidate.,,,2026-09-06
BlastTV,Southeast Asia,Video,blasttv.ph,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Philippine streaming candidate; current active offer needs check.,,,2026-09-06
FPT Play,Southeast Asia,Video,fptplay.vn,U,Research candidate: current ad model and/or web access not fully verified,Partial official/secondary evidence; qualify,"Not playback-tested; verify region, plan and player",Not qualified by this research,Vietnam: free promotional content does not establish a permanent free catalog.,https://blog.fptplay.vn/cuc-dien-anh-phoi-hop-cung-fptplay-to-chuc-tuan-phim-thieu-nhi,Cục Điện ảnh phối hợp cùng FPT Play tổ chức tuần phim thiếu nhi,2026-09-06
VieON,Southeast Asia,Video,vieon.vn,M,Free/paid or mixed ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Free web films plus paid no-ads upgrade documented.,https://vieon.vn/huong-dan-su-dung-vieon-website.html?af_adset=tvshow&af_force_deeplink=true&c=owner-yt-tvshow-rvmua4-20sep2024&pid=owner,Hướng Dẫn Sử Dụng VieON Website: Đăng Ký Tài Khoản | Nhận Mã Giảm Giá Độc Quyền | Xem Phim 4K Miễn Phí,2026-09-06
TV360,Southeast Asia,Video,tv360.vn,U,Research candidate: current ad model and/or web access not fully verified,Partial official/secondary evidence; qualify,"Not playback-tested; verify region, plan and player",Not qualified by this research,Some free channels plus paid plans; carrier data-free does not mean subscription-free.,https://tv360.vn/tv/btv6?ch=9838 ; https://static-zlr.tv360.vn/tv360-static/static/web/images/Bang_gia_cuoc_truyen_hinh.pdf,BTV6 ; BẢNG GIÁ CƯỚC,2026-09-06
VTVgo,Southeast Asia,Video,vtvgo.vn,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Vietnamese public broadcaster; verify ads by channel/player.,,,2026-09-06
Clip TV,Southeast Asia,Video,cliptv.vn,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Vietnam TV/VOD; free/paid access needs checking.,,,2026-09-06
Mahar,Southeast Asia,Video,mahartv.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Myanmar streaming candidate; desktop access and ad model unverified.,,,2026-09-06
Pyone Play,Southeast Asia,Video,pyoneplay.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Myanmar broadcaster catch-up candidate.,,,2026-09-06
SOYO Cambodia,Southeast Asia,Video,soyo.tv,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Cambodian streaming candidate; current status/tier/web support unverified.,,,2026-09-06
7plus,Australia and New Zealand,Video,7plus.com.au,F,Free ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Free ad-funded browser TV/live/VOD.,https://support.7plus.com.au/hc/en-au/articles/360060207852-Will-I-see-advertising-on-the-site ; https://support.7plus.com.au/hc/en-au/articles/360060521851-Can-I-access-7plus-for-free,Will I see advertising on the site? – 7plus ; Can I access 7plus for free? – 7plus,2026-09-06
9Now,Australia and New Zealand,Video,9now.com.au,F,Free ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Free ad-funded live/catch-up; Australian access.,https://help.9now.com.au/hc/en-au/articles/33270561854489-Is-9Now-free-to-use,Is 9Now free to use? – 9Now,2026-09-06
10,Australia and New Zealand,Video,10.com.au,F,Free ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Former 10 play; official help confirms free live/catch-up with advertising.,https://helpdesk.tenplay.com.au/support/solutions/articles/16000125615-why-does-10-play-have-ads- ; https://helpdesk.tenplay.com.au/support/solutions/articles/16000048101-about-10,Why does 10 have ads? : 10 play ; About 10 : 10,2026-09-06
SBS On Demand,Australia and New Zealand,Video,sbs.com.au,F,Free ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Free ad-funded service; multilingual VOD/live. Certain ad-category opt-outs are not universal ad-free viewing.,https://help.sbs.com.au/hc/en-au/articles/360002314515-Why-is-there-advertising-on-SBS,Why is there advertising on SBS? – SBS Help Centre,2026-09-06
TVNZ+,Australia and New Zealand,Video,tvnz.co.nz,F,Free ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Official media kit confirms free service and video ad breaks.,https://sales.tvnz.co.nz/assets/Presentations/TVNZ%2B-Digital-Media-Kit-May-2025.pdf,PowerPoint Presentation,2026-09-06
ThreeNow,Australia and New Zealand,Video,threenow.co.nz,F,Free ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Official developer lists free live/VOD with ads; desktop ad playback still untested.,https://play.google.com/store/apps/details?hl=en&id=com.mediaworks.android,ThreeNow - Apps on Google Play,2026-09-06
Māori+,Australia and New Zealand,Video,maoriplus.co.nz,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Public/indigenous broadcaster; verify ads/sponsorship and current name.,,,2026-09-06
Kayo Sports / Freebies,Australia and New Zealand,Video,kayosports.com.au,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Check current Freebies eligibility; full sports service paid.,,,2026-09-06
Stan Sport,Australia and New Zealand,Video,stan.com.au,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Paid sports; inherited Optus rights do not make it a free service.,,,2026-09-06
ViX,Latin America and Caribbean,Video,vix.com,M,Free/paid or mixed ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Separate Gratis and paid Premium with/without ads; do not conflate plans.,https://ayuda.vix.com/hc/es/articles/26019677892365-Preguntas-frecuentes-sobre-ViX-Con-Anuncios ; https://ayuda.vix.com/hc/es/articles/42642211728781--Apostar%C3%ADas-por-M%C3%AD-Puedo-probar-el-contenido-Premium-en-ViX-sin-suscribirme,Preguntas frecuentes sobre ViX Con Anuncios – ViX ; ¿Apostarías por Mí?: ¿Puedo probar el contenido Premium en ViX sin suscribirme? – ViX,2026-09-06
Canela.TV,Latin America and Caribbean,Video,canela.tv,F,Free ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,"Official FAQ: free with ads, web available; US and much of Latin America.",https://static-assets-cdn.edge.api.canela.tv/static/config/static-config/faq.html,Canela.TV FAQ,2026-09-06
Mercado Play,Latin America and Caribbean,Video,mercadolibre.com,F,Free ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Free viewing and video advertising documented; use the appropriate local Mercado Libre host.,https://global-selling.mercadolibre.com/learning-center/news/find-out?suScope=prod ; https://investor.mercadolibre.com/sites/mercadolibre/files/mercadolibre/results/mercadoLibre-Q424-sec-show.pdf,Mercado Libre ; 0001099590-25-000007,2026-09-06
Globoplay,Latin America and Caribbean,Video,globoplay.globo.com,M,Free/paid or mixed ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Free tier plus paid with-ads/Premium; pause ads separate from video breaks.,https://ajuda.globo.com/article/Quais-os-tipos-de-plano-do-Globoplay ; https://globoads.globo.com/para-o-seu-negocio/anunciar-no-globoplay/pause-ads,Quais os tipos de plano do Globoplay ; Pause Ads | Globo Ads,2026-09-06
RecordPlus,Latin America and Caribbean,Video,recordplus.com,U,Research candidate: current ad model and/or web access not fully verified,Partial official/secondary evidence; qualify,"Not playback-tested; verify region, plan and player",Not qualified by this research,"Former PlayPlus; free live offering confirmed, current host/ad behavior needs verification.",https://record.r7.com/fala-brasil/video/streaming-da-record-passa-a-se-chamar-recordplus-15082025/,Streaming da RECORD passa a se chamar RecordPlus – Record,2026-09-06
Bandplay,Latin America and Caribbean,Video,bandplay.com,U,Research candidate: current ad model and/or web access not fully verified,Partial official/secondary evidence; qualify,"Not playback-tested; verify region, plan and player",Not qualified by this research,Brazilian TV/radio/podcasts; current free/paid ad workflow needs test.,https://play.google.com/store/apps/details/BANDPLAY?hl=es&id=com.bandplay.tv,Bandplay - Aplicaciones en Google Play,2026-09-06
+SBT,Latin America and Caribbean,Video,mais.sbt.com.br,U,Research candidate: current ad model and/or web access not fully verified,Partial official/secondary evidence; qualify,"Not playback-tested; verify region, plan and player",Not qualified by this research,Free service confirmed; verify in-player ad behavior.,https://sbtnews.sbt.com.br/noticia/brasil/conheca-o-sbt-plataforma-de-streaming-100-gratuita-do-sbt,"Conheça o +SBT, plataforma de streaming 100% gratuita do SBT | SBT News",2026-09-06
RedeTV! GO,Latin America and Caribbean,Video,redetvgo.com.br,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Brazilian broadcaster candidate; current branding/host needs checking.,,,2026-09-06
Claro video,Latin America and Caribbean,Video,clarovideo.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Country-specific free catalog/bundles/rentals; no uniform regional free plan assumed.,,,2026-09-06
TV Azteca,Latin America and Caribbean,Video,tvazteca.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Mexico free broadcaster/sports streams; rights vary.,,,2026-09-06
Las Estrellas,Latin America and Caribbean,Video,lasestrellas.tv,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Mexico broadcaster clips; ViX embeds may share adapter.,,,2026-09-06
N+,Latin America and Caribbean,Video,nmas.com.mx,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Mexico live news/video; commercial placement needs check.,,,2026-09-06
13GO,Latin America and Caribbean,Video,13.cl,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Chile broadcaster streaming; identify actual 13GO player hostname.,,,2026-09-06
Mega GO,Latin America and Caribbean,Video,megago.cl,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Chile free versus paid streaming candidate.,,,2026-09-06
TVN Play Chile,Latin America and Caribbean,Video,tvnplay.cl,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Chile broadcaster; local versus international paid plans.,,,2026-09-06
Chilevisión,Latin America and Caribbean,Video,chilevision.cl,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Chile free live/video candidate.,,,2026-09-06
Telefe,Latin America and Caribbean,Video,mitelefe.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Argentina broadcaster; current host/redirects and player need checking.,,,2026-09-06
eltrece,Latin America and Caribbean,Video,eltrecetv.com.ar,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Argentina broadcaster live/video candidate.,,,2026-09-06
Flow,Latin America and Caribbean,Video,flow.com.ar,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Paid provider TV; free promotions separate.,,,2026-09-06
DGO,Latin America and Caribbean,Video,directvgo.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Latin American paid TV; investigate free channels if currently offered.,,,2026-09-06
América tvGO,Latin America and Caribbean,Video,tvgo.americatv.com.pe,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Peru free/premium broadcaster service candidate.,,,2026-09-06
Latina Play,Latin America and Caribbean,Video,latina.pe,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Peru broadcaster video/live; locate current player.,,,2026-09-06
ATV Peru,Latin America and Caribbean,Video,atv.pe,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Peruvian broadcaster live/video candidate.,,,2026-09-06
Caracol Play,Latin America and Caribbean,Video,caracolplay.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Colombia free versus paid episodes/live; ads need check.,,,2026-09-06
Canal RCN,Latin America and Caribbean,Video,canalrcn.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Colombian broadcaster clips/live; international access differs.,,,2026-09-06
Ecuavisa,Latin America and Caribbean,Video,ecuavisa.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Ecuador free broadcaster video/live candidate.,,,2026-09-06
Teleamazonas,Latin America and Caribbean,Video,teleamazonas.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Ecuador broadcaster video/live candidate.,,,2026-09-06
Teledoce,Latin America and Caribbean,Video,teledoce.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Uruguay broadcaster video/live candidate.,,,2026-09-06
Canal 10 Uruguay,Latin America and Caribbean,Video,canal10.com.uy,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Uruguay broadcaster video/live candidate.,,,2026-09-06
Unitel Bolivia,Latin America and Caribbean,Video,unitel.bo,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Bolivia broadcaster video/live candidate.,,,2026-09-06
Red Uno,Latin America and Caribbean,Video,reduno.com.bo,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Bolivia broadcaster video/live candidate.,,,2026-09-06
Telemundo,Latin America and Caribbean,Video,telemundo.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,US Spanish-language free clips/catch-up versus provider locks.,,,2026-09-06
Telemundo Puerto Rico,Latin America and Caribbean,Video,telemundopr.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Puerto Rico local live/news candidate.,,,2026-09-06
TVJ / 1SpotMedia,Latin America and Caribbean,Video,1spotmedia.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Jamaica/Caribbean free versus paid broadcaster service.,,,2026-09-06
Shahid,Middle East and North Africa,Video,shahid.mbc.net,M,Free/paid or mixed ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Ad-funded and subscription models documented; live and VIP distinctions.,https://shahid.mbc.net/en/terms-and-conditions ; https://www.mbc.net/ar/news/42,Terms and Conditions | MBC Shahid ; 3Q 2024 Earnings Release,2026-09-06
WATCH IT,Middle East and North Africa,Video,watchit.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Egypt paid/ad-tier candidate; current packages need check.,,,2026-09-06
OSN+,Middle East and North Africa,Video,osnplus.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Paid subscription; no general free ad tier assumed.,,,2026-09-06
STARZPLAY Arabia,Middle East and North Africa,Video,starzplay.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Paid and possible FAST/free channels; verify territory and player.,,,2026-09-06
Yango Play,Middle East and North Africa,Video,play.yango.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Paid bundled media; advertising/free access unconfirmed.,,,2026-09-06
stc tv,Middle East and North Africa,Video,stctv.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Carrier/paid/free-channel mix; verify current Jawwy migration and browser.,,,2026-09-06
Awaan,Middle East and North Africa,Video,awaan.ae,U,Research candidate: current ad model and/or web access not fully verified,Partial official/secondary evidence; qualify,"Not playback-tested; verify region, plan and player",Not qualified by this research,Dubai Media free viewing/listening documented historically; current ads/web needs check.,https://www.dmi.gov.ae/content/corporate/en-ae/programs/41/Awan.html,Remarkable Digital Achievement Added to Dubai TV's Multi Channel Success List,2026-09-06
ADtv,Middle East and North Africa,Video,adtv.ae,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Abu Dhabi Media broadcaster catch-up/live candidate.,,,2026-09-06
Shofha,Middle East and North Africa,Video,shofha.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Regional subscription/carrier video; no assumed free tier.,,,2026-09-06
Al Jazeera,Middle East and North Africa,Video,aljazeera.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Free news streams; verify player advertising versus program/sponsor material.,,,2026-09-06
Al Arabiya,Middle East and North Africa,Video,alarabiya.net,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,News live/video candidate.,,,2026-09-06
Sky News Arabia,Middle East and North Africa,Video,skynewsarabia.com,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,News live/video candidate.,,,2026-09-06
SNRT Live,Middle East and North Africa,Video,snrtlive.ma,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Moroccan broadcaster; ads depend on channel.,,,2026-09-06
2M,Middle East and North Africa,Video,2m.ma,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,Moroccan broadcaster video/live candidate.,,,2026-09-06
El Watania Tunisia,Middle East and North Africa,Video,wataniatv.tn,U,Research candidate: current ad model and/or web access not fully verified,Discovery backlog; not individually verified,"Not playback-tested; verify region, plan and player",Not qualified by this research,"Tunisian public TV; verify broadcast ads, not assumed insertable breaks.",,,2026-09-06
